"SUPPORT_FUNCTION_SK","SUPPORT_FUNC_NAME","RESOLVER_LEVEL"
"569,462,314",General Inquiries / General Troubleshooting,1
"569,255,282",Access to Resources - Access Issues,2
"569,339,535",Connectivity Issues,1
"215,207,064",Configuration,3
"215,020,667",Break Fix,3
"569,270,061",General Inquiries / General Troubleshooting,1
"215,107,212",Configuration,3
"569,269,654",Adobe Suite - Not working /Not Starting,1
"571,477,509",Configuration,2
"569,415,772",O365 - Create / New Access,2
"615,573,627",New Access,1
"571,487,775",Workday,2
"571,300,385",Configuration,2
"216,411,717",Outage,3
"569,246,698",Zero Client - Hardware issue,2
"569,342,112",Connection Error,2
"215,050,386",Configuration,3
"569,324,130",General Inquiries / General Troubleshooting,1
"571,263,267",Request New,2
"569,278,309",Access to Resources - Application Freezing / Not responding,2
"569,276,941",Outlook - Error Message,1
"571,249,422",Ring Central Outage,2
"569,304,139",Create / New Access,2
"569,438,931",Laptops - Replacement,2
"569,280,971",ISP - Performance issues/Latency,2
"569,262,943",How To Use,1
"569,331,312",DataDog - Create / New Access,2
"569,455,251",Condeco - New Access,2
"569,434,838",Hardware issue,2
"413,999,531",Error Message,3
"572,548,411",Error Message,2
"569,269,540",Other Login - New Access,2
"571,286,319",MAC,2
"615,682,432",Password reset,1
"571,417,627",Mailbox (New/Change/Delete),2
"215,183,888",Termination (Offboarding),1
"627,868,157",Setup,1
"569,327,094",Desktop Printer - Driver,2
"572,579,338",Configuration,2
"569,362,801",General Inquiries / General Troubleshooting,1
"214,667,627",Degraded Performance,3
"572,602,376",Degraded Performance,2
"571,488,533",Add/Change/Remove Shared Folders,2
"413,999,530",Outage,3
"215,020,668",How to - Business Application,3
"569,270,616",Access to Resources - Performance issues,2
"572,517,552",Error Message,2
"569,324,311",How To Use,1
"215,027,200",Emergency Termination,1
"569,269,453",Zero Client - Error Message,2
"638,220,110",Websites - Internal - Error message,1
"569,334,682",VDI - Update/Modify Access,1
"569,316,743",MFP - Replacement,2
"569,447,898",Error Message,2
"571,359,621",Access not allowed,2
"569,385,367",Desktops - Virus,2
"569,288,651",VPN - How To Use,2
"571,419,514",Add/Change/Remove Active Directory group members,2
"569,327,093",Genesys - Configuration,3
"215,157,251",How to - Business Application,3
"385,163,901",Access issues,0
"569,285,007",Replacement,2
"571,348,004",Request New,2
"569,277,779",How To Use,1
"569,365,577",VDI - Not working /Not Starting,2
"569,316,741",General Inquiries / General Troubleshooting,1
"569,311,726",How To Use,1
"569,273,306",Adobe Suite - Installation,1
"569,277,740",Create / New Access,2
"215,153,949",How to use,1
"569,316,116",VMWare - Access Issues,1
"636,731,532",Error Message,1
"569,354,336",Mimecast - How To Use,2
"572,610,203",Outage,2
"569,440,128",O365 - Repair,1
"569,416,754",VMWare - Connection Error,1
"569,261,971",Other Login - Password Reset / Unlock Account,2
"215,113,884",Update/Modify (Legal/Non-Legal changes),1
"572,656,576",Break Fix,2
"571,364,958",Ring Central - Account MAC,2
"569,442,728",Error Message,2
"569,361,947",Other Login - Update/Modify Access,2
"569,278,294",O365 - License issues,2
"571,317,135",Configuration,2
"569,393,577",Other Login - Termination,2
